Beer,beer/,,,,,,,,,,,,,,,,
Sake,sake/,,,,,,,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,,,,,,,
Champagne & Sparkling Wines,champagne/,,,,,,,,,,,,,,,,
Gin,gin/,,,,,,,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,,,,,,,
Rum,rum/,,,,,,,,,,,,,,,,
Tequila,tequila/,,,,,,,,,,,,,,,,
Whisky,whisky/,,,,,,,,,,,,,,,,
Wine & Fortified Wine,wine/,,,,,,,,,,,,,,,,
Shots,shooters/,,,,,,,,,,,,,,,,
Harvard Cocktail,harvard_cocktail.txt,10014,10361,10145,10186,10011,,,,,,,,,,,
Harvard Cooler,harvard_cooler.txt,10019,10145,10193,10118,10249,,,,,,,,,,,
Honeymoon,honeymoon.txt,10019,10045,10093,10145,10249,,,,,,,,,,,
Hoopla,hoopla.txt,10014,10357,10093,10145,10257,,,,,,,,,,,
International Cocktail,international_cocktail.txt,10015,10038,10093,10331,,,,,,,,,,,,
Is Paris Burning?,is_paris_burning.txt,10014,10101,10249,,,,,,,,,,,,,
Jack-in-the-Box,jack_in_the_box.txt,10020,10154,10145,10011,,,,,,,,,,,,
Kahlua Toreador,kahlua_toreador.txt,10014,10056,10232,,,,,,,,,,,,,
La Jolla,la_jolla.txt,10014,10074,10145,10151,,,,,,,,,,,,
Lady Be Good,lady_be_good.txt,10014,10065,10358,,,,,,,,,,,,,
Liberty Cocktail,liberty_cocktail.txt,10225,10250,10021,10292,,,,,,,,,,,,
Metaxa Sidecar,metaxa_sidecar.txt,10250,10222,10320,10080,10151,10146,,,,,,,,,,
Metropolitan,metropolitan.txt,10014,10361,10193,10011,10252,,,,,,,,,,,
Midnight Cocktail,midnight_cocktail.txt,10022,10092,10145,,,,,,,,,,,,,
Mikado,mikado.txt,10014,10093,10033,10186,10011,,,,,,,,,,,
Montana,montana.txt,10014,10367,10359,,,,,,,,,,,,,
Olympic,olympic.txt,10014,10093,10151,10145,10257,,,,,,,,,,,
Ostend Fizz,ostend_fizz.txt,10017,10062,10145,10118,10249,,,,,,,,,,,
Paradise,paradise.txt,10022,10029,10151,,,,,,,,,,,,,
Pear Dream,pear_dream.txt,10026,10144,10160,10186,10250,,,,,,,,,,,
Picasso,picasso.txt,10014,10354,10145,10249,10257,,,,,,,,,,,
Pisco Punch,pisco_punch.txt,10027,10146,10154,10011,10250,,,,,,,,,,,
Pisco Sidecar,pisco_sidecar.txt,10249,10222,10027,10093,10145,10151,,,,,,,,,,
Pisco Sour,pisco_sour.txt,10027,10145,10193,10252,,,,,,,,,,,,
Polonaise,polonaise.txt,10014,10023,10371,10145,,,,,,,,,,,,
Quakers Cocktail,quakers_cocktail.txt,10014,10284,10145,10192,10249,,,,,,,,,,,
Saratoga Cocktail,saratoga_cocktail.txt,10014,10154,10145,10083,10011,,,,,,,,,,,
Sidecar,sidecar.txt,10226,10015,10093,10145,10249,,,,,,,,,,,
Stirrup Cup,stirrup_cup.txt,10014,10024,10145,10193,,,,,,,,,,,,
Stone Fence,stone_fence.txt,10020,10011,10141,10257,,,,,,,,,,,,
The Barujo,the_barujo.txt,10267,10145,10226,10319,10118,,,,,,,,,,,
Tigers Milk,tigers_milk.txt,10014,10284,10222,10134,10218,,,,,,,,,,,
Tulip Cocktail,tulip_cocktail.txt,10019,10361,10022,10145,,,,,,,,,,,,
Valencia,valencia.txt,10022,10151,,,,,,,,,,,,,,
Via Veneto,via_veneto.txt,10014,10043,10145,10193,10232,,,,,,,,,,,
Widow's Kiss,widows_kiss.txt,10019,10045,10049,10011,,,,,,,,,,,,
#Champagne & Sparkling Wines,,,,,,,,,,,,,,,,,
Alcazar,alcazar.txt,10331,10168,10071,10378,,,,,,,,,,,,
Alfonso,alfonso.txt,10225,10011,10354,10378,10249,,,,,,,,,,,
Ambrosia,ambrosia.txt,10145,10092,10014,10021,10378,,,,,,,,,,,
American Flyer,american_flyer.txt,10292,10146,10222,10378,,,,,,,,,,,,
Barracuda,barracuda.txt,10293,10105,10154,10146,10186,10378,,,,,,,,,,
Bellini,bellini.txt,10171,10379,10259,,,,,,,,,,,,,
Black Velvet,black_velvet.txt,10008,10378,,,,,,,,,,,,,,
Blue Champagne,blue_champagne.txt,10331,10145,10088,10092,10378,,,,,,,,,,,
Bombay Bellini,bombay_bellini.txt,10171,10170,10025,10145,10378,,,,,,,,,,,
Brandy Champagne Cocktail,brandy_champagne_cocktail.txt,10225,10011,10014,10378,10249,,,,,,,,,,,
Campari Champagne Cocktail,campari_champagne_cocktail.txt,10046,10378,10257,,,,,,,,,,,,,
Caribbean Fizz,caribbean_fizz.txt,10288,10169,10154,10378,,,,,,,,,,,,
Caribbean Royale,caribbean_royale.txt,10292,10074,10378,10245,,,,,,,,,,,,
Casanova,casanova.txt,10140,10172,10378,10261,,,,,,,,,,,,
Champagne Cooler,champagne_cooler.txt,10094,10015,10011,10378,10257,,,,,,,,,,,
Champagne Cosmo,champagne_cosmo.txt,10161,10026,10093,10378,10248,,,,,,,,,,,
Champagne Julep,champagne_julep.txt,10267,10226,10145,10015,10378,10268,,,,,,,,,,
Chicago,chicago.txt,10249,10222,10014,10093,10011,10378,,,,,,,,,,
