Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Is Paris Burning?,is_paris_burning.txt,10013,10100,10248,,,,,,,
Jack-in-the-Box,jack_in_the_box.txt,10019,10153,10144,10011,,,,,,
Kahlua Toreador,kahlua_toreador.txt,10013,10055,10231,,,,,,,
La Jolla,la_jolla.txt,10013,10073,10144,10150,,,,,,
Lady Be Good,lady_be_good.txt,10013,10064,10357,,,,,,,
Liberty Cocktail,liberty_cocktail.txt,10224,10249,10020,10291,,,,,,
Metaxa Sidecar,metaxa_sidecar.txt,10249,10221,10319,10079,10150,10145,,,,
Metropolitan,metropolitan.txt,10013,10360,10192,10011,10251,,,,,
Midnight Cocktail,midnight_cocktail.txt,10021,10091,10144,,,,,,,
Mikado,mikado.txt,10013,10092,10032,10185,10011,,,,,
Montana,montana.txt,10013,10366,10358,,,,,,,
Olympic,olympic.txt,10013,10092,10150,10144,10256,,,,,
Ostend Fizz,ostend_fizz.txt,10016,10061,10144,10117,10248,,,,,
Paradise,paradise.txt,10021,10028,10150,,,,,,,
Pear Dream,pear_dream.txt,10025,10143,10159,10185,10249,,,,,
Picasso,picasso.txt,10013,10353,10144,10248,10256,,,,,
Pisco Punch,pisco_punch.txt,10026,10145,10153,10011,10249,,,,,
Pisco Sidecar,pisco_sidecar.txt,10248,10221,10026,10092,10144,10150,,,,
Pisco Sour,pisco_sour.txt,10026,10144,10192,10251,,,,,,
Polonaise,polonaise.txt,10013,10022,10370,10144,,,,,,
Quakers Cocktail,quakers_cocktail.txt,10013,10283,10144,10191,10248,,,,,
Saratoga Cocktail,saratoga_cocktail.txt,10013,10153,10144,10082,10011,,,,,
Sidecar,sidecar.txt,10225,10014,10092,10144,10248,,,,,
Stirrup Cup,stirrup_cup.txt,10013,10023,10144,10192,,,,,,
Stone Fence,stone_fence.txt,10019,10011,10140,10256,,,,,,
The Barujo,the_barujo.txt,10266,10144,10225,10318,10117,,,,,
Tigers Milk,tigers_milk.txt,10013,10283,10221,10133,10217,,,,,
Tulip Cocktail,tulip_cocktail.txt,10018,10360,10021,10144,,,,,,
Valencia,valencia.txt,10021,10150,,,,,,,,
Via Veneto,via_veneto.txt,10013,10042,10144,10192,10231,,,,,
Widow's Kiss,widows_kiss.txt,10018,10044,10048,10011,,,,,,
#Champagne & Sparkling Wines,,,,,,,,,,,
Alcazar,alcazar.txt,10330,10167,10070,10377,,,,,,
Alfonso,alfonso.txt,10224,10011,10353,10377,10248,,,,,
Ambrosia,ambrosia.txt,10144,10091,10013,10020,10377,,,,,
American Flyer,american_flyer.txt,10291,10145,10221,10377,,,,,,
Barracuda,barracuda.txt,10292,10104,10153,10145,10185,10377,,,,
Bellini,bellini.txt,10170,10378,10258,,,,,,,
Black Velvet,black_velvet.txt,10008,10377,,,,,,,,
Blue Champagne,blue_champagne.txt,10330,10144,10087,10091,10377,,,,,
Bombay Bellini,bombay_bellini.txt,10170,10169,10024,10144,10377,,,,,
