10000,absinthe
10001,beer
10002,ale
10003,brown ale
10004,lager
10005,Mexican lager
10006,pale ale
10007,stout
10008,Guinness
10009,bitters
10010,cocktail bitters
10011,angostura bitters
10012,Peychaud's bitters
10013,brandy
10014,cognac
10015,eau de vie
10016,kirsch
10017,fruit brandy
10018,apple brandy
10019,Applejack
10020,Calvados
10021,apricot brandy
10022,blackberry brandy
10023,cherry brandy
10024,peach brandy
10025,pear brandy
10026,pisco
10027,cider
10028,gin
10029,liqueurs
10030,almond liqueur
10031,amaretto
10032,creme de noyaux
10033,Amer Picon
10034,amaro
10035,Fernet-Branca
10036,anise-flavored
10037,anisette
10038,Herbsaint
10039,ouzo
10040,pastis
10041,Pernod
10042,sambuca
10043,black sambuca
10044,Benedictine
10045,Campari
10046,Chartreuse
10047,green Chartreuse
10048,yellow Chartreuse
10049,chocolate liqueur
10050,creme de cacao
10051,brown creme de cacao
10052,white creme de cacao
10053,Godiva Liqueur
10054,coffee liqueurs
10055,Kahlua
10056,Tia Maria
10057,cream liqueur
10058,Bailey's
10059,creme de violette
10060,creme liqueurs
10061,creme de cassis
10062,creme de menthe
10063,green creme de menthe
10064,white creme de menthe
10065,Cynar
10066,Damiana liqueur
10067,Drambuie
10068,Frangelico
10069,fruit liqueur
10070,apricot liqueur
10071,banana liqueur
10072,99 bananas
10073,creme de banane
10074,blackberry liqueur
10075,creme de mure
10076,cherry liqueur
10077,Heering Cherry Liqueur
10078,lemon liqueur
10079,limoncello
10080,lime liqueur
10081,KeKe Beach Key Lime Cream Liqueur
10082,maraschino liqueur
10083,melon liqueur
10084,Midori
10085,orange liqueur
10086,Citronge
10087,curacao
10088,blue curacao
10089,orange curacao
10090,Mandarine Napolean
10091,triple sec
10092,Cointreau
10093,Grand Marnier
10094,Harlequin Orange Liqueur
10095,passion fruit liqueur
10096,peach liqueur
10097,creme de peche
10098,plum wine
10099,raspberry liqueur
10100,Chambord
10101,creme de framboise
10102,strawberry liqueur
10103,creme de fraise
10104,Galliano
10105,Jagermeister
10106,kummel
10107,Licor 43
10108,Parfait Amour
10109,Pimm's
10110,Pimm's No. 1
10111,sloe gin
10112,Southern Comfort
10113,Tuaca
10114,walnut liqueur
10115,mixers/sauces/syrups
10116,carbonated
10117,club soda
10118,cola
10119,ginger ale
10120,ginger beer
10121,lemon-lime soda
10122,sparkling beverage
10123,sparkling tangerine beverage
10124,tonic water
10125,cocktail mix
10126,sweet and sour mix
10127,coconut cream
10128,coconut milk
10129,coffee
10130,espresso
10131,dairy
10132,eggnog
10133,half-and-half
10134,heavy cream
10135,milk
10136,juice
10137,clam juice
10138,fruit juice
10139,apple juice
10140,apple cider
10141,cranberry juice
10142,grape juice
10143,grapefruit juice
10144,lemon juice
10145,lime juice
10146,Rose's lime juice
10147,mandarin juice
10148,mango juice
10149,maraschino cherry juice
10150,orange juice
10151,papaya juice
10152,passion fruit juice
10153,pineapple juice
10154,prickly pear juice
10155,tangerine juice
10156,tomato juice
10157,Clamato
10158,nectar
10159,apricot nectar
10160,cranberry nectar
10161,guava nectar
10162,passion fruit nectar
10163,olive juice
10164,vegetable juice
10165,orange flower water
10166,puree
10167,apricot puree
10168,banana puree
10169,mango puree
10170,peach puree
10171,raspberry puree
10172,rose water
10173,sauces
10174,horseradish
10175,hot sauce
10176,Tobasco sauce
10177,salsa
10178,soy sauce
10179,wassabi
10180,Worcestershire sauce
10181,syrup & honey
10182,chocolate syrup
10183,blackcurrant syrup
10184,ginger syrup
10185,grenadine
10186,honey
10187,maple syrup
10188,passion fruit syrup
10189,peppermint syrup
10190,pomegranate syrup
10191,raspberry syrup
10192,simple syrup
10193,tea
10194,chai tea concentrate
10195,non-liquids
10196,baking/spices
10197,allspice
10198,allspice (ground)
10199,black pepper
10200,cardamom
10201,cardamom (ground)
10202,cinnamon
10203,cinnamon stick
10204,chocolate
10205,unsweetened chocolate
10206,cloves
10207,cloves (ground)
10208,cloves (whole)
10209,cocoa powder
10210,sweetened cocoa powder
10211,unsweetened cocoa powder
10212,coffee (dry)
10213,coffee beans
10214,ginger
10215,candied ginger
10216,ground ginger
10217,nutmeg
10218,instant coffee
10219,salt
10220,kosher salt
10221,sugar
10222,brown sugar
10223,powdered sugar
10224,sugar cube
10225,superfine sugar
10226,vanilla bean
10227,dairy (non-liquid)
10228,butter
10229,whipped cream
10230,egg
10231,egg white
10232,egg yolk
10233,frozen dessert
10234,sorbet
10235,coconut sorbet
10236,lemon sorbet
10237,lime sorbet
10238,ice cream
10239,chocolate ice cream
10240,vanilla ice cream
10241,fruit
10242,apple
10243,avocado
10244,banana
10245,blackberries
10246,coconut
10247,cranberries
10248,lemon
10249,lime
10250,mango
10251,maraschino cherry
10252,nectarine
10253,olive
10254,black olive
10255,green olive
10256,orange
10257,papaya
10258,peach
10259,pineapple
10260,raspberries
10261,strawberry
10262,tangerine
10263,watermelon
10264,garnishes
10265,lemongrass
10266,mint leaf
10267,mint sprig
10268,flower
10269,orchid
10270,rose petals
10271,vegetables
10272,celery
10273,cucumber
10274,garlic
10275,green onion
10276,jalapeno
10277,onion
10278,cocktail onion
10279,pickle
10280,tomato
10281,cherry tomato
10282,rum & flavored rum
10283,rum
10284,aged rum
10285,Martinique
10286,Rhum Barbancourt
10287,dark rum
10288,Demerara
10289,Myers's Dark rum
10290,Jamaican rum
10291,light rum
10292,white rum
10293,gold rum
10294,cachaca
10295,Puerto Rican rum
10296,overproof rum
10297,flavored rum
10298,coconut-rum
10299,Malibu
10300,lemon rum
10301,pineapple-infused rum
10302,spiced rum
10303,Captain Morgan
10304,vanilla-infused rum
10305,sake
10306,nigori
10307,schnapps
10308,apple schnapps
10309,butterscotch schnapps
10310,cinnamon schnapps
10311,Goldschlager
10312,green apple schnapps
10313,peach schnapps
10314,peppermint schnapps
10315,Rumple Minze
10316,root beer schnapps
10317,spirits
10318,aguardiente
10319,Metaxa
10320,tequila/mezcal
10321,mezcal
10322,tequila & infused tequila
10323,tequila
10324,gold tequila
10325,reposado tequila
10326,silver tequila
10327,infused tequila
10328,vanilla-infused tequila
10329,pepper-infused tequila
10330,vodka
10331,flavored vodka
10332,cranberry vodka
10333,ginger vodka
10334,lemon vodka
10335,mandarin vodka
10336,orange vodka
10337,vanilla vodka
10338,Zubrowka Bison Grass Vodka
10339,whisky
10340,bourbon
10341,Canadian whisky
10342,blended American whisky
10343,Seagram's Seven Crown
10344,Irish whisky
10345,Japanese whisky
10346,rye whisky
10347,scotch
10348,single-malt scotch
10349,blended scotch
10350,wine
10351,fortified wine
10352,aromatized wine
10353,Dubonnet
10354,Dubonnet Rouge
10355,Lillet
10356,Lillet Blanc
10357,vermouth
10358,dry vermouth
10359,Punt e Mas
10360,sweet vermouth
10361,Madeira
10362,Marsala
10363,dry Marsala
10364,sweet Marsala
10365,port
10366,ruby port
10367,tawny port
10368,Sherry
10369,cream Sherry
10370,dry Sherry
10371,red wine
10372,Beaujolais
10373,dry red wine
10374,rose
10375,dry rose
10376,sparkling wine
10377,champagne
10378,Prosecco
10379,white wine
10380,Chardonnay
10381,dry white wine
10382,Sauvignon blanc
#
99999,10000
99999,10001
10001,10002
10002,10003
10001,10004
10004,10005
10001,10006
10001,10007
10007,10008
99999,10009
10009,10010
10010,10011
10010,10012
99999,10013
10013,10014
10013,10015
10015,10016
10013,10017
10017,10018
10018,10019
10018,10020
10017,10021
10017,10022
10017,10023
10017,10024
10017,10025
10013,10026
99999,10027
99999,10028
99999,10029
10029,10030
10030,10031
10030,10032
10029,10033
10029,10034
10034,10035
10029,10036
10029,10044
10029,10045
10029,10046
10046,10047
10046,10048
10029,10049
10049,10050
10050,10051
10050,10052
10049,10053
10029,10054
10054,10055
10054,10056
10029,10057
10057,10058
10029,10059
10029,10060
10060,10061
10060,10062
10062,10063
10062,10064
10029,10065
10029,10066
10029,10067
10029,10068
10029,10069
10069,10070
10069,10071
10071,10072
10071,10073
10069,10074
10074,10075
10069,10076
10076,10077
10069,10078
10078,10079
10069,10080
10080,10081
10069,10082
10069,10083
10083,10084
10069,10085
10085,10086
10085,10087
10087,10088
10087,10089
10085,10090
10085,10091
10091,10092
10091,10093
10091,10094
10069,10095
10069,10096
10096,10097
10069,10098
10069,10099
10099,10100
10099,10101
10069,10102
10102,10103
10029,10104
10029,10105
10029,10106
10029,10107
10029,10108
10029,10109
10109,10110
10029,10111
10029,10112
10029,10113
10029,10114
99999,10115
10115,10116
10116,10117
10116,10118
