10000,absinthe
10001,beer
10002,ale
10003,brown ale
10004,lager
10005,Mexican lager
10006,pale ale
10007,stout
10008,Guinness
10009,bitters
10010,cocktail bitters
10011,angostura bitters
10012,orange bitters
10013,Peychaud's bitters
10014,brandy
10015,cognac
10016,eau de vie
10017,kirsch
10018,fruit brandy
10019,apple brandy
10020,Applejack
10021,Calvados
10022,apricot brandy
10023,blackberry brandy
10024,cherry brandy
10025,peach brandy
10026,pear brandy
10027,pisco
10028,cider
10029,gin
10030,liqueurs
10031,almond liqueur
10032,amaretto
10033,creme de noyaux
10034,Amer Picon
10035,amaro
10036,Fernet-Branca
10037,anise-flavored
10038,anisette
10039,Herbsaint
10040,ouzo
10041,pastis
10042,Pernod
10043,sambuca
10044,black sambuca
10045,Benedictine
10046,Campari
10047,Chartreuse
10048,green Chartreuse
10049,yellow Chartreuse
10050,chocolate liqueur
10051,creme de cacao
10052,brown creme de cacao
10053,white creme de cacao
10054,Godiva Liqueur
10055,coffee liqueurs
10056,Kahlua
10057,Tia Maria
10058,cream liqueur
10059,Bailey's
10060,creme de violette
10061,creme liqueurs
10062,creme de cassis
10063,creme de menthe
10064,green creme de menthe
10065,white creme de menthe
10066,Cynar
10067,Damiana liqueur
10068,Drambuie
10069,Frangelico
10070,fruit liqueur
10071,apricot liqueur
10072,banana liqueur
10073,99 bananas
10074,creme de banane
10075,blackberry liqueur
10076,creme de mure
10077,cherry liqueur
10078,Heering Cherry Liqueur
10079,lemon liqueur
10080,limoncello
10081,lime liqueur
10082,KeKe Beach Key Lime Cream Liqueur
10083,maraschino liqueur
10084,melon liqueur
10085,Midori
10086,orange liqueur
10087,Citronge
10088,curacao
10089,blue curacao
10090,orange curacao
10091,Mandarine Napolean
10092,triple sec
10093,Cointreau
10094,Grand Marnier
10095,Harlequin Orange Liqueur
10096,passion fruit liqueur
10097,peach liqueur
10098,creme de peche
10099,plum wine
10100,raspberry liqueur
10101,Chambord
10102,creme de framboise
10103,strawberry liqueur
10104,creme de fraise
10105,Galliano
10106,Jagermeister
10107,kummel
10108,Licor 43
10109,Parfait Amour
10110,Pimm's
10111,Pimm's No. 1
10112,sloe gin
10113,Southern Comfort
10114,Tuaca
10115,walnut liqueur
10116,mixers/sauces/syrups
10117,carbonated
10118,club soda
10119,cola
10120,ginger ale
10121,ginger beer
10122,lemon-lime soda
10123,sparkling beverage
10124,sparkling tangerine beverage
10125,tonic water
10126,cocktail mix
10127,sweet and sour mix
10128,coconut cream
10129,coconut milk
10130,coffee
10131,espresso
10132,dairy
10133,eggnog
10134,half-and-half
10135,heavy cream
10136,milk
10137,juice
10138,clam juice
10139,fruit juice
10140,apple juice
10141,apple cider
10142,cranberry juice
10143,grape juice
10144,grapefruit juice
10145,lemon juice
10146,lime juice
10147,Rose's lime juice
10148,mandarin juice
10149,mango juice
10150,maraschino cherry juice
10151,orange juice
10152,papaya juice
10153,passion fruit juice
10154,pineapple juice
10155,prickly pear juice
10156,tangerine juice
10157,tomato juice
10158,Clamato
10159,nectar
10160,apricot nectar
10161,cranberry nectar
10162,guava nectar
10163,passion fruit nectar
10164,olive juice
10165,vegetable juice
10166,orange flower water
10167,puree
10168,apricot puree
10169,banana puree
10170,mango puree
10171,peach puree
10172,raspberry puree
10173,rose water
10174,sauces
10175,horseradish
10176,hot sauce
10177,Tobasco sauce
10178,salsa
10179,soy sauce
10180,wassabi
10181,Worcestershire sauce
10182,syrup & honey
10183,chocolate syrup
10184,blackcurrant syrup
10185,ginger syrup
10186,grenadine
10187,honey
10188,maple syrup
10189,passion fruit syrup
10190,peppermint syrup
10191,pomegranate syrup
10192,raspberry syrup
10193,simple syrup
10194,tea
10195,chai tea concentrate
10196,non-liquids
10197,baking/spices
10198,allspice
10199,allspice (ground)
10200,black pepper
10201,cardamom
10202,cardamom (ground)
10203,cinnamon
10204,cinnamon stick
10205,chocolate
10206,unsweetened chocolate
10207,cloves
10208,cloves (ground)
10209,cloves (whole)
10210,cocoa powder
10211,sweetened cocoa powder
10212,unsweetened cocoa powder
10213,coffee (dry)
10214,coffee beans
10215,ginger
10216,candied ginger
10217,ground ginger
10218,nutmeg
10219,instant coffee
10220,salt
10221,kosher salt
10222,sugar
10223,brown sugar
10224,powdered sugar
10225,sugar cube
10226,superfine sugar
10227,vanilla bean
10228,dairy (non-liquid)
10229,butter
10230,whipped cream
10231,egg
10232,egg white
10233,egg yolk
10234,frozen dessert
10235,sorbet
10236,coconut sorbet
10237,lemon sorbet
10238,lime sorbet
10239,ice cream
10240,chocolate ice cream
10241,vanilla ice cream
10242,fruit
10243,apple
10244,avocado
10245,banana
10246,blackberries
10247,coconut
10248,cranberries
10249,lemon
10250,lime
10251,mango
10252,maraschino cherry
10253,nectarine
10254,olive
10255,black olive
10256,green olive
10257,orange
10258,papaya
10259,peach
10260,pineapple
10261,raspberries
10262,strawberry
10263,tangerine
10264,watermelon
10265,garnishes
10266,lemongrass
10267,mint leaf
10268,mint sprig
10269,flower
10270,orchid
10271,rose petals
10272,vegetables
10273,celery
10274,cucumber
10275,garlic
10276,green onion
10277,jalapeno
10278,onion
10279,cocktail onion
10280,pickle
10281,tomato
10282,cherry tomato
10283,rum & flavored rum
10284,rum
10285,aged rum
10286,Martinique
10287,Rhum Barbancourt
10288,dark rum
10289,Demerara
10290,Myers's Dark rum
10291,Jamaican rum
10292,light rum
10293,white rum
10294,gold rum
10295,cachaca
10296,Puerto Rican rum
10297,overproof rum
10298,flavored rum
10299,coconut-rum
10300,Malibu
10301,lemon rum
10302,pineapple-infused rum
10303,spiced rum
10304,Captain Morgan
10305,vanilla-infused rum
10306,sake
10307,nigori
10308,schnapps
10309,apple schnapps
10310,butterscotch schnapps
10311,cinnamon schnapps
10312,Goldschlager
10313,green apple schnapps
10314,peach schnapps
10315,peppermint schnapps
10316,Rumple Minze
10317,root beer schnapps
10318,spirits
10319,aguardiente
10320,Metaxa
10321,tequila/mezcal
10322,mezcal
10323,tequila & infused tequila
10324,tequila
10325,gold tequila
10326,reposado tequila
10327,silver tequila
10328,infused tequila
10329,vanilla-infused tequila
10330,pepper-infused tequila
10331,vodka
10332,flavored vodka
10333,cranberry vodka
10334,ginger vodka
10335,lemon vodka
10336,mandarin vodka
10337,orange vodka
10338,vanilla vodka
10339,Zubrowka Bison Grass Vodka
10340,whisky
10341,bourbon
10342,Canadian whisky
10343,blended American whisky
10344,Seagram's Seven Crown
10345,Irish whisky
10346,Japanese whisky
10347,rye whisky
10348,scotch
10349,single-malt scotch
10350,blended scotch
10351,wine
10352,fortified wine
10353,aromatized wine
10354,Dubonnet
10355,Dubonnet Rouge
10356,Lillet
10357,Lillet Blanc
10358,vermouth
10359,dry vermouth
10360,Punt e Mas
10361,sweet vermouth
10362,Madeira
10363,Marsala
10364,dry Marsala
10365,sweet Marsala
10366,port
10367,ruby port
10368,tawny port
10369,Sherry
10370,cream Sherry
10371,dry Sherry
10372,red wine
10373,Beaujolais
10374,dry red wine
10375,rose
10376,dry rose
10377,sparkling wine
10378,champagne
10379,Prosecco
10380,white wine
10381,Chardonnay
10382,dry white wine
10383,Sauvignon blanc
#
99999,10000
99999,10001
10001,10002
10002,10003
10001,10004
10004,10005
10001,10006
10001,10007
10007,10008
99999,10009
10009,10010
10010,10011
10010,10012
10010,10013
99999,10014
10014,10015
10014,10016
10016,10017
10014,10018
10018,10019
10019,10020
10019,10021
10018,10022
10018,10023
10018,10024
10018,10025
10018,10026
10014,10027
99999,10028
99999,10029
99999,10030
10030,10031
10031,10032
10031,10033
10030,10034
10030,10035
10035,10036
10030,10037
10037,10038
10037,10039
10037,10040
10037,10041
10041,10042
10037,10043
10043,10044
10030,10045
10030,10046
10030,10047
10047,10048
10047,10049
10030,10050
10050,10051
10051,10052
10051,10053
10050,10054
10030,10055
10055,10056
10055,10057
10030,10058
10058,10059
10030,10060
10030,10061
10061,10062
10061,10063
10063,10064
10063,10065
10030,10066
10030,10067
10030,10068
10030,10069
10030,10070
10070,10071
10070,10072
10072,10073
10072,10074
10070,10075
10075,10076
10070,10077
10077,10078
10070,10079
10079,10080
10070,10081
10081,10082
10070,10083
10070,10084
10084,10085
10070,10086
10086,10087
10086,10088
10088,10089
10088,10090
10086,10091
10086,10092
10092,10093
10092,10094
10092,10095
10070,10096
10070,10097
10097,10098
10070,10099
10070,10100
10100,10101
10100,10102
10070,10103
10103,10104
10030,10105
10030,10106
10030,10107
10030,10108
10030,10109
10030,10110
